"id","lat","long","depth","mag","stations"
"1",NA,NA,562,4.8,41
"2",NA,NA,650,NA,15
"3",NA,NA,42,5.4,43
"4",NA,NA,626,4.1,19
"5",NA,NA,649,4,11
"6",2,NA,195,4,12
"7",NA,166.1,82,4.8,43
"8",22,2,194,4.4,15
"9",NA,NA,211,4.7,35
"10",NA,179.59,622,4.3,19
"11",NA,NA,583,4.4,13
"12",NA,167,249,4.6,16
"13",NA,NA,554,4.4,19
"14",NA,NA,600,4.4,10
"15",NA,169.92,139,6.1,94
"16",NA,NA,306,4.3,11
"17",NA,165.96,50,6,83
"18",NA,NA,590,4.5,21
"19",NA,179.78,570,4.4,13
"20",NA,NA,598,4.4,18
"21",NA,NA,576,4.5,17
"22",NA,166.32,211,4.2,12
"23",NA,NA,512,4.4,18
"24",NA,NA,125,4.7,22
"25",NA,NA,431,5.4,57
"26",NA,NA,537,4,15
"27",NA,167.51,155,4.6,18
"28",NA,NA,498,5.2,79
"29",NA,NA,582,4.5,25
"30",NA,NA,328,4.4,17
"31",NA,179.24,553,4.6,21
"32",NA,166.74,50,4.7,30
"33",NA,NA,292,4.8,42
"34",NA,NA,349,4,10
"35",NA,NA,48,4.5,10
"36",NA,179.33,600,4.3,13
"37",NA,169.23,206,4.5,17
"38",NA,NA,574,4.6,17
"39",NA,NA,585,4.1,17
"40",NA,169.33,230,4.4,11
"41",NA,176.78,263,4.7,34
"42",NA,NA,96,4.6,32
"43",NA,179.82,511,4.4,23
"44",NA,NA,94,4.3,26
"45",NA,169.41,246,4.6,27
"46",NA,NA,56,4.9,34
"47",NA,NA,329,4.5,24
"48",NA,166.32,70,4.4,18
"49",NA,NA,493,4.3,21
"50",NA,NA,129,5.1,73
"51",NA,NA,554,4.2,13
"52",NA,NA,223,4,15
"53",NA,173.2,46,4.6,26
"54",NA,NA,593,4.3,13
"55",NA,NA,489,4.2,16
"56",NA,NA,562,4.4,31
"57",NA,NA,445,4.5,17
"58",NA,NA,584,4,11
"59",NA,NA,535,4.4,23
"60",NA,179.2,530,4.3,12
"61",NA,NA,582,4.7,35
"62",NA,NA,260,4.1,12
"63",NA,172.38,613,5,61
"64",NA,166.22,84,4.6,32
"65",NA,NA,593,4.9,40
"66",NA,NA,286,4.7,25
"67",NA,NA,587,4.1,13
"68",NA,179.62,627,5,45
"69",NA,NA,530,4.5,27
"70",NA,NA,40,5.5,91
"71",NA,NA,152,4,11
"72",NA,NA,201,4.5,30
"73",NA,166.2,96,4.3,14
"74",NA,179.99,506,5.2,75
"75",NA,NA,546,4.4,35
"76",NA,NA,564,4.3,15
"77",NA,NA,197,4.1,11
"78",NA,167.06,265,4.5,23
"79",NA,NA,323,4.2,15
"80",NA,NA,304,5.3,60
"81",NA,NA,75,5.2,65
"82",NA,NA,367,4.5,27
"83",NA,NA,579,4.6,38
"84",NA,NA,284,4.3,15
"85",NA,NA,450,4,11
"86",NA,NA,170,4.3,15
"87",NA,170.5,117,4.7,32
"88",NA,179.96,538,4.5,26
"89",NA,NA,123,4.2,16
"90",NA,NA,69,4.3,42
"91",NA,167.53,128,5.1,61
"92",NA,167.06,236,4.7,22
"93",NA,NA,497,5.2,64
"94",NA,169.71,271,4.2,14
"95",NA,NA,224,4.2,21
"96",NA,NA,375,4,18
"97",NA,NA,365,4.5,21
"98",NA,NA,306,5.2,54
"99",NA,166.54,50,5.1,45
"100",NA,179.92,484,4.7,33
"101",NA,NA,108,4.1,12
"102",NA,178.41,583,4.6,25
"103",NA,NA,608,4.7,30
"104",NA,NA,72,4.7,22
"105",NA,NA,636,4.6,29
"106",NA,NA,293,4.2,15
"107",NA,NA,42,4.4,25
"108",NA,169.49,100,4.6,22
"109",NA,NA,42,5.7,76
"110",NA,177.81,146,5,35
"111",NA,NA,280,4.5,28
"112",NA,NA,388,4.2,14
"113",NA,NA,477,4,16
"114",NA,178.3,617,4.8,39
"115",NA,178.35,606,4.4,21
"116",NA,178.31,609,4.2,25
"117",NA,172.23,46,5.3,67
"118",NA,172.29,64,4.7,14
"119",NA,167.4,178,4.8,52
"120",NA,169.48,248,4.2,13
"121",NA,166.97,82,4.8,28
"122",NA,178.9,81,4.3,11
"123",NA,NA,606,4.7,27
"124",NA,NA,571,4.5,23
"125",NA,NA,328,4.4,18
"126",NA,167.89,49,5.1,43
"127",NA,NA,517,4.2,21
"128",NA,178.57,600,5,69
"129",NA,NA,94,4.8,59
"130",NA,NA,307,4.3,19
"131",NA,NA,189,4.5,22
"132",NA,NA,527,4.2,24
"133",NA,168.98,63,4.5,21
"134",NA,NA,510,4.6,30
"135",NA,NA,624,4.3,14
"136",NA,168.02,53,4.7,12
"137",NA,NA,42,5.1,68
"138",NA,NA,199,4.6,14
"139",NA,NA,149,4.9,31
"140",NA,NA,210,4.2,17
"141",NA,169.46,658,4.6,43
"142",NA,NA,582,4,14
"143",NA,167.1,220,5,46
"144",NA,NA,205,4.4,34
"145",NA,173.5,614,4.2,23
"146",NA,NA,186,4.2,10
"147",NA,NA,97,4.4,22
"148",NA,173.49,48,4.9,42
"149",NA,NA,462,5.3,63
"150",NA,NA,573,4,19
"151",NA,NA,56,5.7,106
"152",NA,167.62,127,6.4,122
"153",NA,NA,229,4.3,24
"154",NA,165.8,112,4.2,20
"155",NA,167.68,140,4.7,16
"156",NA,NA,597,4.7,39
"157",NA,166.07,69,4.2,14
"158",NA,180,452,4.3,19
"159",NA,169.84,93,4.9,31
"160",NA,166.24,103,4.6,30
"161",NA,NA,626,4.1,19
"162",NA,179.52,504,4.8,34
"163",NA,167.16,202,4.6,30
"164",NA,NA,42,4.6,32
"165",NA,179.9,59,4.8,35
"166",NA,179.43,40,5,37
"167",NA,NA,205,5.6,98
"168",NA,NA,244,5.3,73
"169",NA,180,553,4.7,41
"170",NA,169.42,239,4.5,27
"171",NA,NA,640,4.3,24
"172",NA,NA,434,4.6,41
"173",NA,NA,627,4.1,11
"174",NA,NA,99,4.1,14
"175",NA,NA,399,4.1,10
"176",NA,NA,216,5.7,90
"177",NA,NA,544,5,50
"178",NA,NA,206,4.5,22
"179",NA,NA,542,4.1,20
"180",NA,NA,339,4.6,27
"181",NA,NA,640,4.5,47
"182",NA,NA,67,4.3,25
"183",NA,NA,161,4.4,17
"184",NA,NA,375,4.2,15
"185",NA,NA,534,4.1,14
"186",NA,NA,45,4.9,62
"187",NA,NA,309,4.3,11
"188",NA,NA,576,4.9,54
"189",NA,179.88,523,4.6,24
"190",NA,NA,290,4.6,29
"191",NA,NA,234,5.3,71
"192",NA,169.31,223,4.7,35
"193",NA,NA,569,4.6,12
"194",NA,179.5,605,4.1,21
"195",NA,179.61,422,4.6,41
"196",NA,NA,637,4.2,23
"197",NA,NA,204,4.6,27
"198",NA,NA,175,4.5,14
"199",NA,NA,538,4.3,31
"200",NA,NA,595,5.2,74
"201",NA,NA,360,4.3,23
"202",NA,NA,445,4,12
"203",NA,NA,367,4.7,35
"204",NA,NA,190,4.5,36
"205",NA,169.09,629,4.5,19
"206",NA,NA,261,4.3,13
"207",NA,NA,603,5.2,66
"208",NA,NA,508,4.5,14
"209",NA,NA,350,4.7,32
"210",NA,NA,533,4.2,11
"211",NA,NA,411,4.7,42
"212",NA,NA,338,4.3,13
"213",NA,NA,226,4.1,19
"214",NA,NA,93,5.4,85
"215",NA,NA,535,4.3,22
"216",NA,NA,573,4.3,21
"217",NA,NA,186,4.2,17
"218",NA,NA,618,4.6,41
"219",NA,NA,242,4.4,29
"220",NA,NA,342,4.2,14
"221",NA,NA,90,4.7,30
"222",NA,171.65,130,4.6,39
"223",NA,NA,65,4.9,48
"224",NA,NA,397,4.2,22
"225",NA,NA,505,4.5,26
"226",NA,166.66,71,4.9,52
"227",NA,NA,207,4.2,18
"228",NA,NA,154,4.5,22
"229",NA,NA,232,5,55
"230",NA,171.52,106,5,43
"231",NA,NA,664,4.7,34
"232",NA,NA,397,4.3,24
"233",NA,NA,431,4.4,16
"234",NA,NA,57,4.9,31
"235",NA,NA,525,4.5,15
"236",NA,179.93,574,4,12
"237",NA,NA,74,4.4,20
"238",NA,NA,617,5,63
"239",NA,166.53,44,4.7,27
"240",NA,NA,470,4.8,41
"241",NA,NA,298,4.5,33
"242",NA,NA,148,4.1,16
"243",NA,166,48,5.3,16
"244",NA,NA,107,4.8,52
"245",NA,NA,218,5,52
"246",NA,NA,597,4.6,28
"247",NA,NA,619,4.3,26
"248",NA,NA,46,4.7,18
"249",NA,NA,553,5.3,61
"250",NA,169.5,150,4.2,12
"251",NA,166.26,180,4.7,26
"252",NA,167.24,97,4.5,26
"253",NA,NA,587,5.1,47
"254",NA,170.4,106,4.9,38
"255",NA,NA,179,4.4,19
"256",NA,NA,680,4.2,22
"257",NA,NA,304,4.6,34
"258",NA,169.33,254,4.7,35
"259",NA,179.36,521,4.2,23
"260",NA,179.89,526,4.9,43
"261",NA,NA,270,5.1,72
"262",NA,NA,548,4.7,32
"263",NA,169.01,158,4.4,10
"264",NA,NA,562,4.4,27
"265",NA,NA,300,4.2,16
"266",NA,NA,65,4.9,37
"267",NA,167.24,130,4.6,16
"268",NA,168.8,82,4.4,14
"269",NA,NA,482,4.6,37
"270",NA,NA,607,4.5,23
"271",NA,NA,105,4.4,15
"272",NA,NA,590,4.9,35
"273",NA,179.9,498,4.1,12
"274",NA,NA,504,4.2,11
"275",NA,NA,577,5.7,104
"276",NA,NA,529,4.6,25
"277",NA,NA,528,5,59
"278",NA,179.22,492,4.3,16
"279",NA,NA,561,4.5,19
"280",NA,NA,579,5.2,56
"281",NA,NA,413,4.4,22
"282",NA,NA,565,4.2,12
"283",NA,177.77,138,4.6,17
"284",NA,NA,383,4,10
"285",NA,NA,260,4.4,21
"286",NA,179.85,522,4.7,29
